M1,label_secteur,emploi,nb_etab
1,Autres materiels transport,1000,10
1,Caoutchouc/plastique,1636,32
1,Commerce gros,3303,396
1,Construction batiments,105,19
1,Entreposage / services transport,1250,102
1,Fabrication boissons,10,10
1,Genie civil,816,42
1,Ind. alimentaires,1985,220
1,Industrie automobile,677,32
1,Industrie chimique,0,0
1,Industrie papier/carton,0,0
1,Industries extractives,6,2
1,Machines/equipements,1998,48
1,Metallurgie,1,1
1,Produits metalliques,2953,54
1,Produits mineraux,379,64
1,Transports terrestres,8861,213
1,Travail bois,84,4
1,Travaux construction spec.,5626,840
2,Caoutchouc/plastique,1099,45
2,Commerce gros,3870,467
2,Construction batiments,767,71
2,Entreposage / services transport,1784,80
2,Fabrication boissons,132,11
2,Genie civil,513,35
2,Ind. alimentaires,2800,255
2,Industrie automobile,119,12
2,Industrie chimique,960,34
2,Industrie papier/carton,76,3
2,Industries extractives,5,2
2,Machines/equipements,127,23
2,Metallurgie,8,2
2,Produits metalliques,4759,137
2,Produits mineraux,882,24
2,Transports terrestres,4736,260
2,Travail bois,185,37
2,Travaux construction spec.,5020,847
3,Caoutchouc/plastique,0,0
3,Commerce gros,223,25
3,Construction batiments,0,0
3,Entreposage / services transport,54,5
3,Genie civil,2,2
3,Ind. alimentaires,166,14
3,Industrie automobile,37,1
3,Industrie chimique,53,1
3,Industries extractives,10,1
3,Machines/equipements,116,2
3,Metallurgie,104,3
3,Produits metalliques,174,10
3,Produits mineraux,3,1
3,Transports terrestres,36,10
3,Travail bois,23,2
3,Travaux construction spec.,251,68
4,Autres materiels transport,0,0
4,Caoutchouc/plastique,62,2
4,Commerce gros,74,19
4,Construction batiments,31,3
4,Entreposage / services transport,5,1
4,Genie civil,0,0
4,Ind. alimentaires,233,14
4,Industrie automobile,0,0
4,Industrie chimique,73,4
4,Industrie papier/carton,0,0
4,Industries extractives,0,0
4,Machines/equipements,114,5
4,Metallurgie,61,1
4,Produits metalliques,339,13
4,Produits mineraux,24,1
4,Transports terrestres,243,19
4,Travail bois,12,2
4,Travaux construction spec.,207,71
5,Autres materiels transport,65,1
5,Caoutchouc/plastique,195,2
5,Commerce gros,89,12
5,Construction batiments,0,1
5,Entreposage / services transport,6,2
5,Genie civil,77,1
5,Ind. alimentaires,354,11
5,Industrie automobile,0,0
5,Industries extractives,21,2
5,Machines/equipements,74,1
5,Metallurgie,377,2
5,Produits metalliques,254,5
5,Produits mineraux,21,3
5,Transports terrestres,14,5
5,Travail bois,27,1
5,Travaux construction spec.,215,43
6,Caoutchouc/plastique,460,20
6,Commerce gros,5988,644
6,Construction batiments,522,61
6,Entreposage / services transport,2300,70
6,Fabrication boissons,13,3
6,Genie civil,840,20
6,Ind. alimentaires,1823,218
