id,departement,commune,raison_sociale,statut,M1,lat,lon
7339,Haute Saone,Arc Les Gray,Cooperative Interval,convention active,24,47.45812000000002,5.603420000000001
7341,Haute Saone,Arc Les Gray,Europorte Proximite - Gare De Gray,convention active,24,47.45223999999999,5.578439999999999
7105,Nievre,Arzembouy,Cooperative Seragri,convention active,32,47.25376,3.3824099999999997
7128,Yonne,Auxerre,Cooperative 110 Bourgogne (89- Auxerre) Gare Auxerre St Gervais,convention active,6,47.80133999999999,3.58682
7129 - 7599,Yonne,Bazarnes,Cooperative 110 Bourgogne (89- Bazarnes) Gare De Cravant,convention active,33,47.67279054082933,3.679175415570686
7544,Yonne,Beaumont,Cooperative Soufflet Agriculture,convention active,5,47.919350000000016,3.5431900000000005
6568,Territoire De Belfort,Belfort,Alstom,convention active,17,47.653599999999976,6.843069999999997
6681,Doubs,Besancon,R Bourgeois Sa,convention active,36,47.240640000000006,6.000910000000001
7130 - 7600,Yonne,Bonnard,Cooperative 110 Bourgogne (89 - Bonnard) Gare De Bonnard-Bassou,convention active,5,47.92722068464592,3.5400682303059336
7118 - 7413,Cote Dor,Brazey En Plaine,Cooperative Malteries Franco-Belges 21 Brazey En Plaine (Groupe Soufflet) Gare De Brazey En Plaine,convention active,3,47.13375460961456,5.2097074438950814
7133 - 7323,Yonne,Brienon Sur Armancon,Cooperative Cerepy Ynovae,convention active,5,47.9836058588528,3.6232460903824983
7176 - 7417,Cote Dor,Brion Sur Ource,Cooperative Soufflet Agriculture,convention active,7,47.90815961596923,4.684411547167477
7135-7327,Yonne,Cezy,Cooperative Cerepy Ynovae,convention active,4,48.02484903856125,3.3015153593930076
6779,Saone Et Loire,Chalon Sur Saone,Sateba,convention active,20,46.81087999999999,4.852779999999999
7539,Saone Et Loire,Chalon Sur Saone,Saint-Gobain,convention active,20,46.79929,4.84422
7541,Yonne,Chatel Censoir,Cooperative Seragri,convention active,8,47.54291,3.6348299999999996
6874,Cote Dor,Chenove,Godard,convention active,27,47.292535623004106,5.025630239472999
6624,Nievre,Clamecy,Axereal,convention active,9,47.44786,3.4985299999999997
6755,Saone Et Loire,Crissey,Desplat,convention active,20,46.82004585225109,4.864772469809849
7602,Cote Dor,Dijon,Raffinerie Du Midi,convention active,27,47.301569999999984,5.034159999999999
4798,Nievre,Epiry,Granulats Bourgogne Auvergne (Lafarge),convention active,31,47.156123453933894,3.730624945196609
