M1,nb_ite,noms_ite
1,4,Aperam | Axereal | Bois Et Sciages De Sougy | Eqiom | None
2,2,Communaute De Communes Du Senonais (Ynovae) | Commune Ville De Sens
3,5,Cooperative Bourgogne Du Sud | Cooperative Invivo (Ex Sigma) Saint-Usage (Gare De St Jean De Losne) | Cooperative Malteries Franco-Belges 21 Brazey En Plaine (Groupe Soufflet) Gare De Brazey En Plaine | Sms Magyar (Seurre) | Syndicat Mixte Du Technoport De Pagny
4,3,Ateliers De Joigny | Cooperative Cerepy Ynovae
5,6,Caproga | Cooperative 110 Bourgogne  ( 89-Migennes) Gare De Laroche-Migennes | Cooperative 110 Bourgogne (89 - Bonnard) Gare De Bonnard-Bassou | Cooperative Cerepy Ynovae | Cooperative Soufflet Agriculture | Stradal (Gare De La Roche-Migennes)
6,1,Cooperative 110 Bourgogne (89- Auxerre) Gare Auxerre St Gervais
7,4,Arcelor Mittal | Cooperative 110 Bourgogne (21- Laignes) Desserte De Laignes | Cooperative Dijon Cereales | Cooperative Soufflet Agriculture
8,1,Cooperative Seragri
9,1,Axereal
10,1,Edf
11,2,Axereal
12,1,Communaut Urbaine Creusot-Montceau (Ex Snet Centrale De Lucy)
13,1,Granulats Bourgogne Auvergne (Lafarge)
14,3,Communaute Urbaine Du Creusot Montceau Montchanin | Commune Du Creusot(Chemin De Fer Touristique) | Industeel | None
15,2,Conflandey Industries (Amance) | Conflandey Industries (Amoncourt)
16,1,Cooperative Interval
17,2,Alstom | Sertrid
18,1,Aeroport Macon
19,1,Butagaz
20,5,Aeroport De Chalon Sur Saone | Desplat | Saint-Gobain | Sateba
21,1,Communaute De Communes  Du Canton De Louhans | None
22,2,Cooperative 110 Bourgogne (89- Pacy) Desserte Port Sec De Pacy | Cooperative Soufflet Agriculture | None
23,2,Cooperative Dijon Cereales | None
24,4,Cooperative Giroux M Et Fils(Interval) 70 Oryeres- Gare De Gray | Cooperative Interval | Europorte Proximite - Gare De Gray
25,1,Cooperative Dijon Cereales | None
26,1,Cooperative Dijon Cereales
27,6,Entrepots Petroliers De Dijon (Total) | Godard | None | Raffinerie Du Midi | Tetrapak/Sifar
28,1,Eqiom | None
29,1,Cooperative Bourgogne Du Sud
30,2,Cooperative Interval | Inovyn France Ex Solvay Tavaux
31,2,Carrieres De La Vauvelle Porphyres De Picampoix (Eiffage) | Granulats Bourgogne Auvergne (Lafarge) | None
32,1,Cooperative Seragri
33,1,Cooperative 110 Bourgogne (89- Bazarnes) Gare De Cravant
34,1,Cooperative Dijon Cereales
35,3,Gefco | Peugeot Citroen Automobiles | Sogeefer
36,4,Autres | Eska | None | R Bourgeois Sa | Tillet Sas (Ancienne Halle Fret De Miserey)
37,0,None
38,0,None
39,0,None
40,0,None
41,0,None
