code_macrozone,nb_pl_echange,nb_pl_interne,nb_pl_total,nb_pl_charge,nb_pl_vide,pl_ech_ext_sortant,pl_ech_ext_entrant,pl_ech_bfc_sortant,pl_ech_bfc_entrant,pl_interne_mz
1,987.0,150.0,1137.0,663.0,475.0,3.8,4.2,56.6,63.2,150.1
2,613.0,72.0,685.0,442.0,243.0,2.4,2.6,48.7,32.7,72.3
3,201.0,16.0,217.0,130.0,87.0,0.7,0.8,42.9,40.1,16.3
4,126.0,13.0,139.0,86.0,53.0,0.5,0.5,12.8,15.0,13.1
5,159.0,5.0,164.0,99.0,65.0,0.4,0.7,19.6,26.3,4.6
6,959.0,258.0,1217.0,808.0,409.0,4.8,5.3,73.1,68.9,258.1
7,46.0,2.0,48.0,30.0,18.0,0.1,0.2,3.4,9.3,1.8
8,83.0,0.0,83.0,44.0,39.0,0.3,0.1,7.5,7.7,0.0
9,143.0,3.0,146.0,85.0,62.0,0.4,0.5,19.2,21.9,3.5
10,132.0,15.0,147.0,87.0,61.0,0.5,0.5,20.1,12.4,15.5
11,128.0,5.0,133.0,77.0,56.0,0.4,0.5,11.9,12.3,4.5
12,269.0,16.0,285.0,164.0,121.0,0.7,1.1,28.2,22.5,16.0
13,12.0,0.0,12.0,8.0,4.0,0.0,0.0,0.8,0.8,0.0
14,203.0,30.0,233.0,136.0,97.0,0.7,1.0,17.3,18.5,29.7
15,134.0,2.0,136.0,73.0,63.0,1.1,1.9,19.6,31.8,2.3
16,953.0,139.0,1092.0,618.0,475.0,12.6,14.1,79.5,73.2,139.3
17,580.0,93.0,673.0,431.0,242.0,8.6,9.1,52.0,45.8,93.1
18,852.0,99.0,951.0,586.0,366.0,3.0,4.0,36.8,43.1,99.3
19,139.0,14.0,153.0,89.0,64.0,0.4,0.7,22.3,23.8,13.6
20,1383.0,475.0,1858.0,1158.0,700.0,6.7,8.8,122.3,120.5,474.9
21,162.0,13.0,175.0,102.0,73.0,0.5,0.7,19.0,16.9,12.7
22,87.0,1.0,88.0,52.0,37.0,0.2,0.3,9.8,11.3,1.4
23,98.0,7.0,105.0,62.0,43.0,0.3,0.5,14.9,17.1,6.9
24,309.0,7.0,316.0,180.0,136.0,2.5,3.0,51.2,53.7,7.5
25,185.0,5.0,190.0,111.0,78.0,0.5,0.7,24.4,39.2,4.8
26,620.0,27.0,647.0,390.0,257.0,2.1,2.2,93.8,105.8,26.9
27,2603.0,386.0,2989.0,1934.0,1055.0,11.1,12.2,267.3,229.7,385.5
28,458.0,43.0,501.0,330.0,170.0,5.9,5.8,45.2,45.0,42.5
29,207.0,31.0,238.0,171.0,67.0,1.0,1.1,20.5,21.0,31.3
30,382.0,28.0,410.0,268.0,142.0,4.9,4.7,40.5,38.1,28.1
31,125.0,95.0,220.0,119.0,100.0,0.8,1.0,21.7,23.4,94.8
32,46.0,0.0,46.0,24.0,22.0,0.1,0.1,8.2,8.6,0.0
33,128.0,0.0,128.0,79.0,50.0,0.4,0.4,12.5,20.9,0.1
34,85.0,2.0,87.0,62.0,24.0,0.4,0.3,9.1,5.7,1.7
35,1146.0,174.0,1320.0,823.0,497.0,16.4,17.3,106.9,110.3,173.6
36,2341.0,492.0,2833.0,1778.0,1054.0,37.1,37.4,123.3,126.5,491.9
