cordon,zone_ext,direction,flux_type,charge,classe_distance,nb_pl_jour,distance_km,dep_ext,reg_ext,mz_ext,com_ext
chalon,7,entrant,I,C,D2,0.23,139.0,70.0,1.0,16.0,70550.0
chalon,7,entrant,I,V,D2,0.23,139.0,70.0,1.0,16.0,70550.0
chalon,7,sortant,I,C,D2,0.5,143.9,70.0,1.0,16.0,70550.0
chalon,7,sortant,I,V,D2,0.32,143.9,70.0,1.0,16.0,70550.0
chalon,8,entrant,I,C,D2,0.17,111.1,21.0,1.0,27.0,21355.0
chalon,8,entrant,I,V,D2,0.09,111.1,21.0,1.0,27.0,21355.0
chalon,8,sortant,I,C,D2,0.33,112.4,21.0,1.0,27.0,21355.0
chalon,8,sortant,I,V,D2,0.35,112.4,21.0,1.0,27.0,21355.0
chalon,9,entrant,I,C,D2,0.01,156.5,89.0,1.0,34.0,89197.0
chalon,9,entrant,I,V,D2,0.0,156.5,89.0,1.0,34.0,89197.0
chalon,28,entrant,I,C,D2,0.1,114.0,21.0,1.0,27.0,21231.0
chalon,28,entrant,I,V,D2,0.05,114.0,21.0,1.0,27.0,21231.0
chalon,28,sortant,I,C,D2,0.06,116.7,21.0,1.0,27.0,21231.0
chalon,28,sortant,I,V,D2,0.07,110.8,21.0,1.0,27.0,21231.0
chalon,37,entrant,I,C,D2,0.06,113.3,21.0,1.0,27.0,21231.0
chalon,37,entrant,I,V,D2,0.03,113.3,21.0,1.0,27.0,21231.0
chalon,37,sortant,I,C,D2,0.04,116.0,21.0,1.0,27.0,21231.0
chalon,37,sortant,I,V,D2,0.04,111.1,21.0,1.0,27.0,21231.0
chalon,38,entrant,I,C,D2,0.27,155.3,58.0,1.0,1.0,58303.0
chalon,38,entrant,I,V,D2,0.15,155.3,58.0,1.0,1.0,58303.0
chalon,42,entrant,I,C,D2,0.03,199.5,90.0,1.0,17.0,90010.0
chalon,42,entrant,I,C,D3,0.06,200.7,90.0,1.0,17.0,90010.0
chalon,42,entrant,I,V,D2,0.0,199.6,90.0,1.0,17.0,90010.0
chalon,42,entrant,I,V,D3,0.01,200.7,90.0,1.0,17.0,90010.0
chalon,42,sortant,I,C,D2,0.09,198.6,90.0,1.0,17.0,90010.0
chalon,42,sortant,I,C,D3,0.08,229.6,90.0,1.0,17.0,90010.0
chalon,42,sortant,I,V,D2,0.01,198.6,90.0,1.0,17.0,90010.0
chalon,42,sortant,I,V,D3,0.01,229.6,90.0,1.0,17.0,90010.0
chalon,45,sortant,I,C,D2,0.15,189.0,58.0,1.0,10.0,58086.0
chalon,45,sortant,I,V,D2,0.14,189.0,58.0,1.0,10.0,58086.0
chalon,50,sortant,I,C,D2,0.0,104.4,21.0,1.0,27.0,21390.0
chalon,50,sortant,I,V,D2,0.0,104.4,21.0,1.0,27.0,21390.0
chalon,51,entrant,I,C,D2,0.0,199.7,90.0,1.0,17.0,90010.0
chalon,51,entrant,I,C,D3,0.07,201.1,90.0,1.0,17.0,90010.0
chalon,51,entrant,I,V,D2,0.0,199.9,90.0,1.0,17.0,90010.0
chalon,51,entrant,I,V,D3,0.01,201.2,90.0,1.0,17.0,90010.0
chalon,51,sortant,I,C,D2,0.07,199.1,90.0,1.0,17.0,90010.0
